Date,Australian_Equities,Australian_Property,Global_Equities_$A,Global_Equities_LCL,Aust._Bonds,Global_Property_Hdg,Cash,Global_Bonds,Alts
1/01/2015,3.28,7.71,3.18,-0.63,1.61,7.75,0.25,2.18,0.81
1/02/2015,6.89,3.70,5.27,5.91,0.28,-1.13,0.21,-0.41,1.06
1/03/2015,-0.06,-2.08,0.89,-0.37,0.76,0.73,0.21,0.78,0.60
1/04/2015,-1.70,-1.09,-0.84,1.18,-1.11,-3.12,0.18,-0.35,0.02
1/05/2015,0.40,2.92,3.49,1.39,0.04,-0.31,0.20,-0.26,0.83
1/06/2015,-5.30,-4.15,-2.66,-2.84,-0.93,-4.39,0.18,-1.07,-1.31
1/07/2015,4.40,5.71,6.60,2.48,1.30,4.55,0.18,1.21,0.87
1/08/2015,-7.79,-4.09,-3.14,-6.57,0.64,-5.92,0.18,-0.10,-1.99
1/09/2015,-2.96,-0.27,-2.76,-3.51,0.25,1.39,0.18,0.75,-1.41
1/10/2015,4.37,4.96,6.28,8.00,0.30,5.64,0.19,0.49,0.53
1/11/2015,-0.68,-2.93,-2.06,0.73,-0.88,-1.21,0.17,0.20,0.20
1/12/2015,2.73,3.99,-2.28,-2.24,0.33,0.66,0.19,-0.10,-0.85
1/01/2016,-5.48,1.06,-3.23,-5.38,1.22,-3.62,0.20,1.65,-1.41
1/02/2016,-1.76,2.86,-1.70,-1.46,1.03,-0.38,0.18,1.09,-1.08
1/03/2016,4.73,2.39,-0.99,5.36,-0.21,7.59,0.20,0.92,0.29
1/04/2016,3.37,2.80,2.36,0.85,0.26,-0.74,0.20,0.31,0.34
1/05/2016,3.09,2.63,6.02,1.83,1.26,1.46,0.19,0.57,0.36
1/06/2016,-2.45,3.54,-3.83,-1.23,1.33,2.99,0.16,1.98,-0.10
1/07/2016,6.29,5.42,2.00,4.10,0.74,4.89,0.17,0.70,1.15
1/08/2016,-1.55,-2.78,1.29,0.53,0.42,-2.18,0.17,0.05,0.47
1/09/2016,0.48,-4.33,-1.32,0.23,-0.22,-1.26,0.14,0.07,0.12
1/10/2016,-2.15,-7.86,-1.38,-0.62,-1.28,-4.49,0.15,-0.90,-0.18
1/11/2016,2.99,0.84,4.50,2.67,-1.44,-1.30,0.14,-1.63,0.36
1/12/2016,4.38,6.81,4.48,2.76,-0.17,3.58,0.15,0.36,0.96
1/01/2017,-0.79,-4.84,-2.36,1.36,0.61,-0.50,0.16,-0.26,0.70
1/02/2017,2.25,4.15,1.45,3.17,0.17,3.29,0.13,0.91,0.97
1/03/2017,3.32,0.62,1.82,0.97,0.44,-1.51,0.15,0.03,0.39
1/04/2017,1.03,2.61,3.58,1.20,0.75,1.05,0.15,0.74,0.43
1/05/2017,-2.75,-1.10,2.75,1.72,1.17,0.52,0.15,0.64,0.82
1/06/2017,0.17,-4.82,-2.64,0.07,-0.90,0.49,0.14,-0.22,-0.49
1/07/2017,-0.01,-0.07,-1.67,1.49,0.25,0.88,0.15,0.37,1.37
1/08/2017,0.71,1.28,0.81,0.19,-0.01,0.26,0.14,0.96,0.59
1/09/2017,-0.02,0.51,3.44,2.42,-0.31,-0.10,0.14,-0.43,-0.15
1/10/2017,4.01,2.25,4.28,2.54,1.09,0.18,0.15,0.47,1.28
1/11/2017,1.64,5.27,3.23,1.63,0.87,2.41,0.13,0.19,0.10
1/12/2017,1.81,0.24,-1.71,1.12,-0.52,1.03,0.14,0.24,0.91
1/01/2018,-0.45,-3.28,1.75,3.90,-0.27,-1.31,0.16,-0.69,2.71
1/02/2018,0.36,-3.29,-0.41,-3.59,0.29,-6.26,0.13,-0.23,-2.12
